Frequency,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily
2013-08-02,9.5,2.75,8.5,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.5163,4,6.5,1.25,7.25,5.375,,2.5,NaN,4,3,1.5,2.5,4.25,3.5,2.5,5,11,8.25,,1,2.5,4.5,0.125,0.5,5
2013-08-03,NaN,,8.5,NaN,,NaN,6,3.25,,,,NaN,NaN,NaN,6.5,1.25,7.25,,,,NaN,4,NaN,NaN,2.5,,NaN,NaN,NaN,11,NaN,,NaN,2.5,NaN,0.125,0.5,5
2013-08-04,NaN,,8.5,NaN,,NaN,6,3.25,,,,NaN,NaN,NaN,6.5,1.25,NaN,,,,NaN,4,NaN,NaN,2.5,,NaN,NaN,NaN,11,NaN,2,NaN,2.5,NaN,0.125,0.5,NaN
2013-08-05,9.5,2.75,8.5,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,NaN,4,6.5,1.25,7.25,,,2.5,3.25,4,3,1.5,2.5,4.25,3.5,2.5,5,11,8.25,2,1,2.5,4.5,0.125,0.5,5
2013-08-06,9.5,2.75,8.5,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.45,4,6.5,1.25,7.25,5.375,,2.5,3.25,4,3,1.5,2.5,4.25,3.5,2.5,4.5,11,8.25,2,1,2.5,4.5,0.125,0.5,5
2013-08-07,9.5,2.5,8.5,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.7398,4,6.5,1.25,7.25,5.375,,2.5,3.25,4,3,1.5,2.5,4.25,3.5,2.5,4.5,11,8.25,2,1,2.5,4.5,0.125,0.5,5
2013-08-08,9.5,2.5,8.5,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.65,4,6.5,1.25,7.25,5.375,,2.5,NaN,4,NaN,1.5,2.5,4.25,3.5,2.5,4.5,11,8.25,2,1,2.5,NaN,0.125,0.5,5
2013-08-09,9.5,2.5,8.5,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.5569,4,6.5,1.25,NaN,5.375,,2.5,3.25,4,NaN,1.5,2.5,4.25,NaN,2.5,4.5,11,8.25,,1,2.5,NaN,0.125,0.5,NaN
2013-08-10,NaN,,8.5,NaN,,NaN,6,3.25,,,,NaN,NaN,NaN,6.5,1.25,7.25,,,,NaN,4,NaN,NaN,2.5,,NaN,NaN,NaN,11,NaN,,NaN,2.5,NaN,0.125,0.5,5
2013-08-11,NaN,,8.5,NaN,,NaN,6,3.25,,,,NaN,NaN,NaN,6.5,1.25,NaN,,,,NaN,4,NaN,NaN,2.5,,NaN,NaN,NaN,11,NaN,2,NaN,2.5,NaN,0.125,0.5,NaN
2013-08-12,9.5,2.5,8.5,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.3714,4,6.5,1.25,7.25,5.375,,2.5,3.25,4,3,1.5,2.5,4.25,3.5,2.5,4.5,11,8.25,2,1,2.5,4.5,0.125,0.5,5
2013-08-13,9.5,2.5,8.5,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,NaN,4,6.5,1.25,7.25,5.375,,2.5,3.25,4,3,1.5,2.5,4.25,3.5,2.5,4.5,11,8.25,2,1,2.5,4.5,0.125,0.5,5
2013-08-14,9.5,2.5,8.5,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.5,4,6.5,1.25,7.25,5.375,,2.5,3.25,4,3,1.5,2.5,4.25,3.5,2.5,4.5,11,8.25,2,1,2.5,4.5,0.125,0.5,5
2013-08-15,9.5,2.5,8.5,1,0.125,NaN,6,3.25,0.05,-0.1,0.5,0.5,NaN,4,6.5,1.25,NaN,5.375,,,3.25,4,3,1.5,2.5,4.25,3.5,NaN,NaN,11,8.25,2,1,2.5,4.5,0.125,0.5,5
2013-08-16,9.5,2.5,8.5,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.5452,4,6.5,1.25,7.25,5.375,,2.5,3.25,4,3,1.5,2.5,4.25,3.5,2.5,4.5,11,8.25,,1,2.5,4.5,0.125,0.5,5
2013-08-17,NaN,,8.5,NaN,,NaN,6,3.25,,,,NaN,NaN,NaN,,1.25,7.25,,,,NaN,4,NaN,NaN,2.5,,NaN,NaN,NaN,11,NaN,,NaN,2.5,NaN,0.125,0.5,5
2013-08-18,NaN,,8.5,NaN,,NaN,6,3.25,,,,NaN,NaN,NaN,,1.25,NaN,,,,NaN,4,NaN,NaN,2.5,,NaN,NaN,NaN,11,NaN,2,NaN,2.5,NaN,0.125,0.5,NaN
2013-08-19,NaN,2.5,8.5,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.6,4,6.5,1.25,7.25,5.375,,2.5,3.25,4,3,1.5,2.5,4.25,NaN,2.5,4.5,11,8.25,2,1,2.5,4.5,0.125,0.5,5
2013-08-20,9.5,2.5,8.5,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.41,4,6.5,1.25,7.25,5.375,,2.5,3.25,4,3,1.5,2.5,4.25,NaN,2.5,4.5,11,8.25,2,1,2.5,4.5,0.125,0.5,5
2013-08-21,9.5,2.5,8.5,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.33,4,6.5,1.25,7.25,5.375,,2.5,3.25,4,3,1.5,2.5,4.25,NaN,2.5,4.5,11,8.25,2,1,2.5,4.5,0.125,0.5,5
2013-08-22,9.5,2.5,8.5,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.37,4,6.5,1.25,7.25,5.375,,2.5,3.25,4,3,1.5,2.5,4.25,3.5,2.5,4.5,11,8.25,2,1,2.5,4.5,0.125,0.5,5
2013-08-23,9.5,2.5,8.5,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.43,4,6.5,1.25,7.25,5.375,,2.5,3.25,4,3,1.5,2.5,4.25,3.5,2.5,4.5,11,8.25,,1,2.5,4.5,0.125,0.5,5
2013-08-24,NaN,,8.5,NaN,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1.25,7.25,,,,NaN,4,NaN,NaN,2.5,,NaN,NaN,NaN,11,NaN,,NaN,2.5,NaN,0.125,0.5,5
2013-08-25,NaN,,8.5,NaN,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1.25,NaN,,,,NaN,4,NaN,NaN,2.5,,NaN,NaN,NaN,11,NaN,2,NaN,2.5,NaN,0.125,0.5,NaN
2013-08-26,9.5,2.5,8.5,1,0.125,5,6,3.25,0.05,-0.1,NaN,0.5,0.45,4,6.5,1.25,7.25,5.375,,2.5,3.25,4,3,1.5,2.5,4.25,NaN,2.5,4.5,11,8.25,2,1,2.5,4.5,0.125,0.5,5
2013-08-27,9.5,2.5,8.5,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.24,4,6.5,1.25,7.25,5.375,,2.5,3.25,4,3,1.5,2.5,4.25,3.5,2.5,4.5,11,8.25,2,1,2.5,4.5,0.125,0.5,5
2013-08-28,9.5,2.5,8.5,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.2,3.8,6.5,1.25,7.25,5.375,,2.5,NaN,4,3,1.5,2.5,4.25,3.5,2.5,4.5,11,8.25,2,1,2.5,4.5,0.125,0.5,5
2013-08-29,9.5,2.5,9,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.1621,3.8,7,1.25,7.25,5.375,,2.5,3.25,4,3,1.5,2.5,4.25,3.5,2.5,4.5,11,8.25,2,1,2.5,4.5,0.125,0.5,5
2013-08-30,9.5,2.5,9,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.2106,3.8,7,1.25,7.25,5.375,,2.5,3.25,4,3,1.5,2.5,4.25,3.5,2.5,4.5,11,8.25,,1,2.5,NaN,0.125,0.5,5
2013-08-31,NaN,,9,NaN,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1.25,7.25,,,,NaN,4,NaN,NaN,2.5,,NaN,NaN,NaN,11,NaN,,NaN,2.5,NaN,0.125,0.5,5
2013-09-01,NaN,,9,NaN,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1.25,NaN,,,,NaN,4,NaN,NaN,2.5,,NaN,NaN,NaN,11,NaN,2,NaN,2.5,NaN,0.125,0.5,NaN
2013-09-02,9.5,2.5,9,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.2,3.8,7,1.25,7.25,5.375,,2.5,3.25,4,3,1.5,2.5,4.25,3.5,2.5,4.5,11,8.25,2,1,2.5,4.5,0.125,0.5,5
2013-09-03,9.5,2.5,9,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.1875,3.8,7,1.25,7.25,5.375,,2.5,3.25,4,3,1.5,2.5,4.25,3.5,2.5,4.5,11,8.25,2,1,2.5,4.5,0.125,0.5,5
2013-09-04,9.5,2.5,9,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.15,3.8,7,1.25,7.25,5.375,,2.5,3.25,4,3,1.5,2.5,4.25,3.5,2.5,4.5,11,8.25,2,1,2.5,4.5,0.125,0.5,5
2013-09-05,9.5,2.5,9,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.32,3.8,7,1.25,7.25,5.375,,2.5,3.25,4,3,1.5,2.5,4.25,3.5,2.5,4.5,11,8.25,2,1,2.5,4.5,0.125,0.5,5
2013-09-06,9.5,2.5,9,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.2,3.8,7,1.25,7.25,5.375,,2.5,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.5,11,8.25,,1,2.5,4.5,0.125,0.5,5
2013-09-07,NaN,,9,NaN,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1.25,7.25,,,,NaN,3.75,NaN,NaN,2.5,,NaN,NaN,NaN,11,NaN,,NaN,2.5,NaN,0.125,0.5,5
2013-09-08,NaN,,9,NaN,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1.25,NaN,,,,NaN,3.75,NaN,NaN,2.5,,NaN,NaN,NaN,11,NaN,2,NaN,2.5,NaN,0.125,0.5,NaN
2013-09-09,9.5,2.5,9,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.329,3.8,7,1.25,NaN,5.375,,2.5,NaN,3.75,3,1.5,2.5,4.25,3.5,2.5,4.5,11,8.25,2,1,2.5,4.5,0.125,0.5,5
2013-09-10,9.5,2.5,9,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.2324,3.8,7,1.25,7.25,5.375,,2.5,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.5,11,8.25,2,1,2.5,4.5,0.125,0.5,5
2013-09-11,9.5,2.5,9,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.8,3.8,7,1.25,7.25,5.375,,2.5,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.5,11,8.25,2,1,2.5,4.5,0.125,0.5,5
2013-09-12,9.5,2.5,9,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.3882,3.8,7.25,1.25,7.25,5.375,,2.5,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.5,11,8.25,2,1,2.5,4.5,0.125,0.5,5
2013-09-13,9.5,2.5,9,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.3914,3.8,7.25,1.25,7.25,5.375,,2.5,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.5,11,5.5,,1,2.5,4.5,0.125,0.5,5
2013-09-14,NaN,,9,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1.25,7.25,,,,NaN,3.75,NaN,NaN,2.5,,NaN,NaN,NaN,11,NaN,,NaN,2.5,NaN,0.125,0.5,5
2013-09-15,NaN,,9,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1.25,NaN,,,,NaN,3.75,NaN,NaN,2.5,,NaN,NaN,NaN,11,NaN,2,NaN,2.5,NaN,0.125,0.5,NaN
2013-09-16,9.5,2.5,9,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.3396,3.8,7.25,1.25,7.25,5.375,,2.5,3.25,3.75,NaN,1.5,2.5,4.25,3.5,2.5,4.5,11,5.5,2,1,2.5,4.5,0.125,0.5,5
2013-09-17,9.5,2.5,9,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.73,3.8,7.25,1.25,7.25,5.375,,2.5,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.5,11,5.5,2,1,2.5,4.5,0.125,0.5,5
2013-09-18,9.5,2.5,9,1,0.125,NaN,6,3.25,0.05,-0.1,0.5,0.5,0.3992,3.8,7.25,1.25,7.25,5.375,,,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.5,11,5.5,2,1,2.5,4.5,0.125,0.5,5
2013-09-19,9.5,2.5,9,1,0.125,NaN,6,3.25,0.05,-0.1,0.5,0.5,NaN,3.8,7.25,1.25,7.25,5.375,,,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.5,11,5.5,2,1,2.5,4.5,0.125,0.5,5
2013-09-20,9.5,2.5,9,1,0.125,NaN,6,3.25,0.05,-0.1,0.5,NaN,NaN,3.8,7.25,1.25,7.5,5.375,,,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.5,11,5.5,,1,2.5,4.5,0.125,0.5,5
2013-09-21,NaN,,9,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1.25,7.5,,,,NaN,3.75,NaN,NaN,2.5,,NaN,NaN,NaN,11,NaN,,NaN,2.5,NaN,0.125,0.5,5
2013-09-22,NaN,,9,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1.25,NaN,,,,NaN,3.75,NaN,NaN,2.5,,NaN,NaN,NaN,11,NaN,2,NaN,2.5,NaN,0.125,0.5,NaN
2013-09-23,9.5,2.5,9,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,NaN,3.8,7.25,1.25,7.5,5.375,,2.5,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.5,11,5.5,2,1,2.5,4.5,0.125,0.5,5
2013-09-24,9.5,2.5,9,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,NaN,3.8,7.25,1.25,7.5,5.375,,2.5,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.5,11,5.5,2,1,2.5,4.5,0.125,0.5,NaN
2013-09-25,9.5,2.5,9,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,NaN,3.6,7.25,1.25,7.5,5.375,,2.5,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.5,11,5.5,2,1,2.5,4.5,0.125,0.5,5
2013-09-26,9.5,2.5,9,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.3765,3.6,7.25,1.25,7.5,5.375,,2.5,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.5,11,5.5,2,1,2.5,4.5,0.125,0.5,5
2013-09-27,9.5,2.5,9,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.64,3.6,7.25,1,7.5,5.375,,2.5,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.5,11,5.5,,1,2.5,4.5,0.125,0.5,5
2013-09-28,NaN,,9,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,7.5,,,,NaN,3.75,NaN,NaN,2.5,,NaN,NaN,NaN,11,NaN,,NaN,2.5,NaN,0.125,0.5,5
2013-09-29,NaN,,9,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,NaN,,,,NaN,3.75,NaN,NaN,2.5,,NaN,NaN,NaN,11,NaN,2,NaN,2.5,NaN,0.125,0.5,NaN
2013-09-30,9.5,2.5,9,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.5644,3.6,7.25,1,7.5,5.375,,2.5,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.5,11,5.5,2,1,2.5,4.5,0.125,0.5,5
2013-10-01,9.5,2.5,9,1,0.125,5,6,3.25,0.05,-0.1,0.5,NaN,0.4,3.6,7.25,1,7.5,5.375,,2.5,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.25,11,5.5,2,1,2.5,4.5,0.125,0.5,5
2013-10-02,9.5,2.5,9,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.3222,3.6,7.25,1,NaN,5.375,,2.5,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.25,11,5.5,2,1,2.5,4.5,0.125,0.5,5
2013-10-03,9.5,2.5,9,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.3328,3.6,7.25,1,7.5,5.375,,,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.25,11,5.5,2,1,2.5,4.5,0.125,0.5,5
2013-10-04,9.5,2.5,9,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.2372,3.6,7.25,1,7.5,5.375,,2.5,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.25,11,5.5,,1,2.5,4.5,0.125,0.5,5
2013-10-05,NaN,,9,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,7.5,,,,NaN,3.75,NaN,NaN,2.5,,NaN,NaN,NaN,11,NaN,,NaN,2.5,NaN,0.125,0.5,5
2013-10-06,NaN,,9,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,NaN,,,,NaN,3.75,NaN,NaN,2.5,,NaN,NaN,NaN,11,NaN,2,NaN,2.5,NaN,0.125,0.5,NaN
2013-10-07,9.5,2.5,9,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.3792,3.6,7.25,1,7.5,5.375,,2.5,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.25,11,5.5,2,1,2.5,4.5,0.125,0.5,5
2013-10-08,9.5,2.5,9,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,NaN,3.6,7.25,1,7.5,5.375,,2.5,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.25,11,5.5,2,1,2.5,4.5,0.125,0.5,5
2013-10-09,9.5,2.5,9,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.468,3.6,7.25,1,7.5,5.375,,,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.25,11,5.5,2,1,2.5,4.5,0.125,0.5,5
2013-10-10,9.5,2.5,9.5,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.65,3.6,7.25,1,7.5,5.375,,2.5,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.25,11,5.5,2,1,2.5,4.5,0.125,0.5,5
2013-10-11,9.5,2.5,9.5,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.6125,3.6,7.25,1,7.5,5.375,,2.5,NaN,3.75,3,1.5,2.5,4.25,3.5,2.5,4.25,11,5.5,,1,2.5,4.5,0.125,0.5,5
2013-10-12,NaN,,9.5,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,7.5,,,,NaN,3.75,NaN,NaN,2.5,,NaN,NaN,NaN,11,NaN,,NaN,2.5,NaN,0.125,0.5,5
2013-10-13,NaN,,9.5,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,NaN,,,,NaN,3.75,NaN,NaN,2.5,,NaN,NaN,NaN,11,NaN,2,NaN,2.5,NaN,0.125,0.5,NaN
2013-10-14,NaN,2.5,9.5,1,0.125,5,6,3.25,0.05,-0.1,0.5,NaN,0.2955,3.6,NaN,1,7.5,5.375,,2.5,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.25,11,5.5,2,1,2.5,4.5,0.125,0.5,5
2013-10-15,9.5,2.5,9.5,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.65,3.6,NaN,1,7.5,5.375,,2.5,3.25,3.75,NaN,1.5,2.5,4.25,NaN,2.5,4.25,11,5.5,2,1,2.5,NaN,0.125,0.5,5
2013-10-16,9.5,2.5,9.5,1,0.125,5,6,3.25,0.05,-0.1,0.5,0.5,0.3955,3.6,7.25,1,NaN,5.375,,2.5,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.25,11,5.5,2,1,2.5,NaN,0.125,0.5,5
2013-10-17,9.5,2.5,9.5,1,0.125,5,6,3.25,0.05,-0.1,0.5,NaN,0.3468,3.6,7.25,1,7.5,5.375,,2.5,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.25,11,5.5,2,1,2.5,NaN,0.125,0.5,5
2013-10-18,9.5,2.5,9.5,1,0.125,4.75,6,3.25,0.05,-0.1,0.5,0.5,0.3967,3.6,7.25,1,7.5,5.375,,2.5,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.25,10.5,5.5,,1,2.5,NaN,0.125,0.5,5
2013-10-19,NaN,,9.5,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,7.5,,,,NaN,3.75,NaN,NaN,2.5,,NaN,NaN,NaN,10.5,NaN,,NaN,2.5,NaN,0.125,0.5,5
2013-10-20,NaN,,9.5,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,NaN,,,,NaN,3.75,NaN,NaN,2.5,,NaN,NaN,NaN,10.5,NaN,2,NaN,2.5,NaN,0.125,0.5,NaN
2013-10-21,9.5,2.5,9.5,1,0.125,4.75,6,3.25,0.05,-0.1,0.5,0.5,0.3967,3.6,7.25,1,7.5,5.375,,2.5,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.25,10.5,5.5,2,1,2.5,4.5,0.125,0.5,5
2013-10-22,9.5,2.5,9.5,1,0.125,4.75,6,3.25,0.05,-0.1,0.5,0.5,0.3967,3.6,7.25,1,7.5,5.375,,2.5,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.25,10.5,5.5,2,1,2.5,4.5,0.125,0.5,5
2013-10-23,9.5,2.5,9.5,1,0.125,4.75,6,3.25,0.05,-0.1,0.5,NaN,0.4343,NaN,7.25,1,7.5,5.375,,2.5,NaN,3.75,3,1.5,2.5,4.25,3.5,2.5,4.25,10.5,5.5,2,1,2.5,4.5,0.125,0.5,5
2013-10-24,9.5,2.5,9.5,1,0.125,4.75,6,3.25,0.05,-0.1,0.5,NaN,0.4648,3.6,7.25,1,7.5,5.375,,2.5,3.25,3.75,3,1.5,2.5,4.25,3.5,2.5,4.25,10.5,5.5,2,1,2.5,4.5,0.125,0.5,5
2013-10-25,9.5,2.5,9.5,1,0.125,4.75,6,3.25,0.05,-0.1,0.5,0.5,0.4336,3.6,7.25,1,7.5,5.375,,2.5,3.25,3.5,3,1.5,2.5,4.25,3.5,2.5,4.25,10.5,5.5,,1,2.5,4.5,0.125,0.5,5
2013-10-26,NaN,,9.5,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,7.5,,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,10.5,NaN,,NaN,2.5,NaN,0.125,0.5,5
2013-10-27,NaN,,9.5,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,NaN,,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,10.5,NaN,2,NaN,2.5,NaN,0.125,0.5,NaN
2013-10-28,9.5,2.5,9.5,1,0.125,4.75,6,3.25,NaN,-0.1,0.5,0.5,0.3957,3.6,7.25,1,7.5,5.375,,2.5,3.25,3.5,3,1.5,2.5,4.25,NaN,2.5,4.25,10.5,5.5,2,1,2.5,4.5,0.125,0.5,5
2013-10-29,9.5,2.5,9.5,1,0.125,4.75,6,3.25,0.05,-0.1,0.5,0.5,0.3932,3.6,7.25,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4.25,3.5,2.5,4.25,10.5,5.5,2,1,2.5,NaN,0.125,0.5,5
2013-10-30,9.5,2.5,9.5,1,0.125,4.75,6,3.25,0.05,-0.1,0.5,0.5,0.29,3.4,7.25,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4.25,3.5,2.5,4.25,10.5,5.5,2,1,2.5,4.5,0.125,0.5,5
2013-10-31,9.5,2.5,9.5,1,0.125,NaN,6,3.25,0.05,-0.1,0.5,0.5,0.2533,3.4,7.25,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4.25,3.5,2.5,4.25,10.5,5.5,2,1,2.5,4.5,0.125,0.5,5
2013-11-01,9.5,2.5,9.5,1,0.125,NaN,6,3.25,0.05,-0.1,0.5,0.5,NaN,NaN,7.25,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4.25,NaN,NaN,4.25,10.5,5.5,,1,2.5,4.5,0.125,0.5,5
2013-11-02,NaN,,9.5,,,NaN,6,3.25,,,,NaN,NaN,NaN,,1,7.75,,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,10.5,NaN,,NaN,2.5,NaN,0.125,0.5,5
2013-11-03,NaN,,9.5,,,NaN,6,3.25,,,,NaN,NaN,NaN,,1,NaN,,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,10.5,NaN,2,NaN,2.5,NaN,0.125,0.5,NaN
2013-11-04,9.5,2.5,9.5,1,0.125,4.75,6,3.25,0.05,-0.1,0.5,0.5,0.2256,3.4,7.25,1,NaN,5.375,,2.5,3.25,3.5,3,1.5,2.5,4.25,3.5,2.5,4.25,10.5,NaN,2,1,2.5,4.5,0.125,0.5,5
2013-11-05,9.5,2.5,9.5,1,0.125,4.75,6,3.25,0.05,-0.1,0.5,0.5,0.2364,3.4,,1,7.75,5.375,,2.5,3.25,3.5,NaN,1.5,2.5,4.25,3.5,2.5,4.25,10.5,5.5,2,1,2.5,4.5,0.125,0.5,5
2013-11-06,NaN,2.5,9.5,1,0.125,4.75,6,3.25,0.05,-0.1,0.5,0.5,0.2757,3.4,7.25,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4.25,3.5,2.5,4,10.5,5.5,2,1,2.5,4.5,0.125,0.5,5
2013-11-07,9.5,2.5,9.5,1,0.125,4.75,6,3.25,0.05,-0.1,0.5,0.5,0.2654,3.4,7.25,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4.25,3.5,2.5,4,10,5.5,2,1,2.5,4.5,0.125,0.5,5
2013-11-08,9.5,2.5,9.5,1,0.125,4.75,6,3.25,0.05,-0.1,0.5,0.5,0.3219,3.4,7.25,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,10,5.5,,1,2.5,4.5,0.125,0.5,5
2013-11-09,NaN,,9.5,,,NaN,6,3.25,,,,NaN,NaN,NaN,,1,7.75,,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,10,NaN,,NaN,2.5,NaN,0.125,0.5,5
2013-11-10,NaN,,9.5,,,NaN,6,3.25,,,,NaN,NaN,NaN,,1,NaN,,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,10,NaN,2,NaN,2.5,NaN,0.125,0.5,NaN
2013-11-11,9.5,2.5,9.5,1,0.125,4.75,6,3.25,0.05,-0.1,0.5,0.5,0.2725,3.4,7.25,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,NaN,4,10,5.5,2,1,2.5,4.5,0.125,0.5,5
2013-11-12,9.5,2.5,9.5,1,0.125,4.75,6,3.25,0.05,-0.1,0.5,0.5,0.27,3.4,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,10,5.5,2,1,2.5,4.5,0.125,0.5,5
